Name, time, alt, az
COSMOS 2228             , 2020-06-08 23:16:00+01:00, 39.56, 70.71
TERRA                   , 2020-06-08 23:33:00+01:00, 45.88, 250.42
COSMOS 482 DESCENT CRAFT, 2020-06-08 23:46:00+01:00, 31.05, 213.45
SL-6 R/B(2)             , 2020-06-08 23:47:00+01:00, 37.93, 19.56
COSMOS 2084             , 2020-06-08 23:53:00+01:00, 75.51, 266.97
SL-12 R/B(2)            , 2020-06-09 00:06:00+01:00, 37.63, 315.52
COSMOS 2219             , 2020-06-09 00:06:00+01:00, 82.63, 232.41
SEASAT 1                , 2020-06-09 00:18:00+01:00, 38.11, 100.72
RESURS-DK 1             , 2020-06-09 00:18:00+01:00, 46.18, 286.84
SL-4 R/B                , 2020-06-09 00:20:00+01:00, 88.21, 94.41
ERBS                    , 2020-06-09 00:21:00+01:00, 56.24, 225.69
THOR AGENA D R/B        , 2020-06-09 00:23:00+01:00, 74.35, 247.83
TITAN 4B R/B            , 2020-06-09 00:37:00+01:00, 85.03, 259.80
ARIANE 5 R/B            , 2020-06-09 00:43:00+01:00, 69.31, 136.98
ALOS-2                  , 2020-06-09 00:58:00+01:00, 46.48, 237.44
COSMOS 1626             , 2020-06-09 01:14:00+01:00, 33.52, 303.87
COSMOS 1455             , 2020-06-09 01:25:00+01:00, 69.90, 11.34
SL-6 R/B(2)             , 2020-06-09 01:27:00+01:00, 50.06, 231.57
ORBVIEW 2 (SEASTAR)     , 2020-06-09 01:51:00+01:00, 65.82, 267.39
SEASAT 1                , 2020-06-09 01:56:00+01:00, 43.12, 309.71
COSMOS 2242             , 2020-06-09 01:57:00+01:00, 69.41, 256.48
COSMOS 2221             , 2020-06-09 02:00:00+01:00, 32.93, 76.75
SL-4 R/B                , 2020-06-09 02:00:00+01:00, 48.56, 189.46
CUSAT 2 & FALCON 9 R/B  , 2020-06-09 02:09:00+01:00, 39.30, 95.54
COSMOS 2278             , 2020-06-09 02:15:00+01:00, 74.68, 292.09
METEOR 1-29             , 2020-06-09 02:20:00+01:00, 59.18, 231.97
INTERCOSMOS 25          , 2020-06-09 02:26:00+01:00, 47.78, 59.53
SL-16 R/B               , 2020-06-09 02:41:00+01:00, 52.73, 105.21
DELTA 1 R/B             , 2020-06-09 02:53:00+01:00, 30.26, 56.34
MIDORI II (ADEOS-II)    , 2020-06-09 02:56:00+01:00, 30.95, 92.88
COSMOS 1892             , 2020-06-09 03:30:00+01:00, 77.33, 289.63
COSMOS 2058             , 2020-06-09 03:37:00+01:00, 64.78, 284.87
COSMOS 2221             , 2020-06-09 03:37:00+01:00, 30.08, 278.66
COSMOS 1408             , 2020-06-09 03:38:00+01:00, 64.14, 30.97
COSMOS 1844             , 2020-06-09 03:39:00+01:00, 81.61, 326.84
AQUA                    , 2020-06-09 03:40:00+01:00, 70.55, 307.55
CUSAT 2 & FALCON 9 R/B  , 2020-06-09 03:50:00+01:00, 51.31, 301.79
HELIOS 1B               , 2020-06-09 04:09:00+01:00, 70.05, 104.57
SL-16 R/B               , 2020-06-09 04:25:00+01:00, 36.00, 309.49
INTERCOSMOS 25          , 2020-06-09 04:28:00+01:00, 79.09, 270.54
DELTA 1 R/B             , 2020-06-09 04:31:00+01:00, 48.09, 265.79
COSMOS 2428             , 2020-06-09 04:34:00+01:00, 58.52, 100.38
IDEFIX & ARIANE 42P R/B , 2020-06-09 04:36:00+01:00, 69.77, 113.96
MIDORI II (ADEOS-II)    , 2020-06-09 04:36:00+01:00, 47.07, 291.89
COSMOS 2151             , 2020-06-09 04:40:00+01:00, 37.04, 278.00
ERS-2                   , 2020-06-09 04:49:00+01:00, 31.25, 247.00
ERS-1                   , 2020-06-09 04:50:00+01:00, 54.12, 293.90
COSMOS 2084             , 2020-06-09 04:55:00+01:00, 30.89, 26.64
H-2A R/B                , 2020-06-09 04:57:00+01:00, 39.86, 255.85
COSMOS 1933             , 2020-06-09 05:00:00+01:00, 30.54, 279.06
COSMO-SKYMED 1          , 2020-06-09 05:25:00+01:00, 30.87, 77.42
AKARI (ASTRO-F)         , 2020-06-09 05:32:00+01:00, 78.82, 118.19
SAOCOM 1A               , 2020-06-09 05:37:00+01:00, 31.45, 71.23
COSMOS 1812             , 2020-06-09 05:43:00+01:00, 72.11, 226.51
