Name, time, alt, az
SL-4 R/B                , 2020-06-04 23:06:00+01:00, 51.39, 147.35
COSMOS 1833             , 2020-06-04 23:19:00+01:00, 69.04, 269.86
ALOS-2                  , 2020-06-04 23:36:00+01:00, 30.33, 66.29
SL-12 R/B(2)            , 2020-06-04 23:47:00+01:00, 80.66, 174.47
SEASAT 1                , 2020-06-04 23:52:00+01:00, 33.34, 112.78
COSMOS 2228             , 2020-06-05 00:04:00+01:00, 54.29, 102.52
KORONAS-FOTON           , 2020-06-05 00:12:00+01:00, 51.45, 95.30
ERBS                    , 2020-06-05 00:18:00+01:00, 41.00, 0.34
COSMOS 482 DESCENT CRAFT, 2020-06-05 00:22:00+01:00, 43.85, 216.78
RESURS-DK 1             , 2020-06-05 00:25:00+01:00, 59.05, 152.38
COSMOS 1953             , 2020-06-05 00:30:00+01:00, 30.45, 273.75
ORBVIEW 2 (SEASTAR)     , 2020-06-05 00:42:00+01:00, 37.43, 76.25
SL-4 R/B                , 2020-06-05 00:46:00+01:00, 73.32, 81.68
THOR AGENA D R/B        , 2020-06-05 00:49:00+01:00, 48.93, 283.71
SL-6 R/B(2)             , 2020-06-05 00:54:00+01:00, 37.24, 18.06
COSMOS 2084             , 2020-06-05 00:59:00+01:00, 74.89, 252.48
ARIANE 5 R/B            , 2020-06-05 00:59:00+01:00, 67.97, 214.66
COSMOS 2219             , 2020-06-05 01:00:00+01:00, 76.74, 238.45
COSMOS 1626             , 2020-06-05 01:06:00+01:00, 75.59, 175.91
ALOS-2                  , 2020-06-05 01:12:00+01:00, 36.01, 252.32
SEASAT 1                , 2020-06-05 01:30:00+01:00, 47.71, 292.73
METEOR 1-29             , 2020-06-05 01:34:00+01:00, 32.15, 98.22
ERBS                    , 2020-06-05 01:55:00+01:00, 45.30, 196.99
TITAN 4B R/B            , 2020-06-05 01:57:00+01:00, 56.83, 242.78
